Identifier,Element,State,Wavelength,Aki,Ei,Ek,gi,gk
Hg I 435.83,Hg,I,435.83,55700000.0,4.886,7.73,3.0,3.0
Tl I 535.05,Tl,I,535.05,106250000.0,0.966,3.283,4.0,2.0
Pb I 368.37,Pb,I,368.37,150000000.0,0.969,4.334,3.0,1.0
Pb I 405.81,Pb,I,405.81,89000000.0,1.32,4.375,5.0,3.0
Bi I 293.83,Bi,I,293.83,123000000.0,1.914,6.1324,6.0,4.0
Bi I 298.90,Bi,I,298.9,54000000.0,1.4158,5.5626,4.0,4.0
Bi I 302.46,Bi,I,302.46,86000000.0,1.914,6.012,6.0,6.0
Bi I 306.77,Bi,I,306.77,167000000.0,0.0,4.0404,4.0,2.0
,Po,,,,,,,
,At,,,,,,,
,Rn,,,,,,,
,Fr,,,,,,,
,Ra,,,,,,,
,Ac,,,,,,,
Th II 411.67,Th,II,411.67,11941000.0,0.765,3.776,8.0,10.0
Th II 438.19,Th,II,438.19,11530000.0,0.831,3.659,10.0,10.0
Th II 439.11,Th,II,439.11,6470000.0,0.557,3.379,6.0,8.0
,Pa,,,,,,,
U II 367.01,U,II,367.01,27709000.0,0.113,3.481,10.0,12.0
U II 409.01,U,II,409.01,12000000.0,0.217,3.248,14.0,14.0
U II 454.36,U,II,454.36,1734400.0,0.113,2.841,10.0,12.0
,Np,,,,,,,
,Pu,,,,,,,
,Am,,,,,,,
,Cm,,,,,,,
,Bk,,,,,,,
,Cf,,,,,,,
,Es,,,,,,,
,Fm,,,,,,,
,Md,,,,,,,
,No,,,,,,,
,Lr,,,,,,,
,Rf,,,,,,,
,Db,,,,,,,
,Sg,,,,,,,
,Bh,,,,,,,
,Hs,,,,,,,
,Mt,,,,,,,
,Ds,,,,,,,
,Rg,,,,,,,
,Cn,,,,,,,
,Nh,,,,,,,
,Fl,,,,,,,
,Mc,,,,,,,
,Lv,,,,,,,
,Ts,,,,,,,
,Og,,,,,,,
